company_id,type,rule_id,text,confidence_pct
ADANIPORTS,pro,EPS CAGR >= 10%,EPS CAGR of 14.9% over five years.,88
ADANIPORTS,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
ADANIPOWER,pro,ROE >= 20%,Strong return on equity of 48.3%.,90
ADANIPOWER,pro,NPM >= 15%,Healthy net profit margin of 41.4%.,85
ADANIPOWER,pro,ICR >= 5,Strong interest coverage of 8.3x.,88
ADANIPOWER,pro,FCF > 0,Positive free cash flow of 17651.0 crore.,82
ADANIPOWER,pro,CFO > 0,Positive operating cash flow supports earnings quality.,80
ADANIPOWER,pro,CapEx intensity < 10%,Moderate CapEx intensity of 6.9%.,72
ADANIPOWER,pro,FCF conversion >= 80%,Strong free-cash-flow conversion of 96.8%.,88
ADANIPOWER,pro,Revenue CAGR >= 10%,Revenue CAGR of 16.1% over five years.,85
ADANIPOWER,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
AMBUJACEM,pro,D/E <= 0.5,"Low debt-to-equity of 0.02, indicating conservative leverage.",90
AMBUJACEM,pro,ICR >= 5,Strong interest coverage of 28.3x.,88
AMBUJACEM,pro,CFO > 0,Positive operating cash flow supports earnings quality.,80
AMBUJACEM,pro,PAT CAGR >= 10%,Profit CAGR of 11.2% over five years.,88
AMBUJACEM,con,FCF < 0,Negative free cash flow is a potential financial risk.,90
AMBUJACEM,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
AMBUJACEM,con,FCF conversion < 50%,Weak free-cash-flow conversion of -51.5%.,82
AMBUJACEM,con,Revenue CAGR < 5%,Slow five-year revenue CAGR of 4.1%.,78
APOLLOHOSP,pro,ICR >= 5,Strong interest coverage of 5.6x.,88
APOLLOHOSP,pro,FCF > 0,Positive free cash flow of 383.0 crore.,82
APOLLOHOSP,pro,CFO > 0,Positive operating cash flow supports earnings quality.,80
APOLLOHOSP,pro,CapEx intensity < 10%,Moderate CapEx intensity of 8.1%.,72
APOLLOHOSP,pro,Revenue CAGR >= 10%,Revenue CAGR of 14.7% over five years.,85
APOLLOHOSP,pro,PAT CAGR >= 10%,Profit CAGR of 36.1% over five years.,88
APOLLOHOSP,pro,EPS CAGR >= 10%,EPS CAGR of 30.0% over five years.,88
APOLLOHOSP,con,NPM < 5%,Thin net profit margin of 4.9%.,85
APOLLOHOSP,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
APOLLOHOSP,con,FCF conversion < 50%,Weak free-cash-flow conversion of 16.0%.,82
ASIANPAINT,pro,ROE >= 20%,Strong return on equity of 29.7%.,90
ASIANPAINT,pro,NPM >= 15%,Healthy net profit margin of 15.7%.,85
ASIANPAINT,pro,D/E <= 0.5,"Low debt-to-equity of 0.13, indicating conservative leverage.",90
ASIANPAINT,pro,ICR >= 5,Strong interest coverage of 41.0x.,88
ASIANPAINT,pro,FCF > 0,Positive free cash flow of 3556.0 crore.,82
ASIANPAINT,pro,CFO > 0,Positive operating cash flow supports earnings quality.,80
ASIANPAINT,pro,CapEx intensity < 10%,Moderate CapEx intensity of 7.2%.,72
ASIANPAINT,pro,Revenue CAGR >= 10%,Revenue CAGR of 13.0% over five years.,85
ASIANPAINT,pro,PAT CAGR >= 10%,Profit CAGR of 20.3% over five years.,88
ASIANPAINT,pro,EPS CAGR >= 10%,EPS CAGR of 21.0% over five years.,88
ASIANPAINT,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
ASIANPAINT,con,FCF conversion < 50%,Weak free-cash-flow conversion of 46.9%.,82
ATGL,pro,P&L fallback: net profit > 0,Positive latest reported net profit of 668.0 crore.,72
ATGL,pro,P&L fallback: positive sales,Latest reported sales were 4475.0 crore.,65
ATGL,pro,P&L fallback: positive EPS,Latest reported EPS was positive at 6.00.,70
ATGL,con,Missing financial-ratios history,Complete ratio-based analysis is unavailable because the financial-ratios history is incomplete.,72
AXISBANK,pro,NPM >= 15%,Healthy net profit margin of 22.7%.,85
AXISBANK,pro,CapEx intensity < 10%,Moderate CapEx intensity of 8.2%.,72
AXISBANK,pro,Revenue CAGR >= 10%,Revenue CAGR of 14.7% over five years.,85
AXISBANK,pro,PAT CAGR >= 10%,Profit CAGR of 39.7% over five years.,88
AXISBANK,pro,EPS CAGR >= 10%,EPS CAGR of 35.1% over five years.,88
AXISBANK,con,D/E > 1,Elevated debt-to-equity of 8.25.,90
AXISBANK,con,ICR < 2,Low interest coverage of 1.7x.,92
AXISBANK,con,FCF < 0,Negative free cash flow is a potential financial risk.,90
AXISBANK,con,CFO < 0,Negative operating cash flow indicates weak cash generation.,95
AXISBANK,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
AXISBANK,con,FCF conversion < 50%,Weak free-cash-flow conversion of -38.4%.,82
BAJAJ-AUTO,pro,ROE >= 20%,Strong return on equity of 26.6%.,90
BAJAJ-AUTO,pro,NPM >= 15%,Healthy net profit margin of 17.2%.,85
BAJAJ-AUTO,pro,D/E <= 0.5,"Low debt-to-equity of 0.07, indicating conservative leverage.",90
BAJAJ-AUTO,pro,ICR >= 5,Strong interest coverage of 174.4x.,88
BAJAJ-AUTO,pro,FCF > 0,Positive free cash flow of 12972.0 crore.,82
BAJAJ-AUTO,pro,CFO > 0,Positive operating cash flow supports earnings quality.,80
BAJAJ-AUTO,pro,CapEx intensity < 10%,Moderate CapEx intensity of 0.3%.,72
BAJAJ-AUTO,pro,FCF conversion >= 80%,Strong free-cash-flow conversion of 148.0%.,88
BAJAJ-AUTO,pro,EPS CAGR >= 10%,EPS CAGR of 10.2% over five years.,88
BAJAJ-AUTO,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
BAJAJFINSV,pro,ROE >= 20%,Strong return on equity of 25.9%.,90
BAJAJFINSV,pro,CapEx intensity < 10%,Moderate CapEx intensity of 9.9%.,72
BAJAJFINSV,pro,Revenue CAGR >= 10%,Revenue CAGR of 21.0% over five years.,85
BAJAJFINSV,pro,PAT CAGR >= 10%,Profit CAGR of 23.7% over five years.,88
BAJAJFINSV,pro,EPS CAGR >= 10%,EPS CAGR of 20.6% over five years.,88
BAJAJFINSV,con,D/E > 1,Elevated debt-to-equity of 4.79.,90
BAJAJFINSV,con,FCF < 0,Negative free cash flow is a potential financial risk.,90
BAJAJFINSV,con,CFO < 0,Negative operating cash flow indicates weak cash generation.,95
BAJAJFINSV,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
BAJAJFINSV,con,FCF conversion < 50%,Weak free-cash-flow conversion of -194.8%.,82
BAJAJHLDNG,pro,NPM >= 15%,Healthy net profit margin of 432.7%.,85
BAJAJHLDNG,pro,D/E <= 0.5,"Low debt-to-equity of 0.00, indicating conservative leverage.",90
BAJAJHLDNG,pro,ICR >= 5,Strong interest coverage of 3764.5x.,88
BAJAJHLDNG,pro,FCF > 0,Positive free cash flow of 1469.0 crore.,82
BAJAJHLDNG,pro,CFO > 0,Positive operating cash flow supports earnings quality.,80
BAJAJHLDNG,pro,FCF conversion >= 80%,Strong free-cash-flow conversion of 94.0%.,88
BAJAJHLDNG,pro,Revenue CAGR >= 10%,Revenue CAGR of 31.6% over five years.,85
BAJAJHLDNG,pro,PAT CAGR >= 10%,Profit CAGR of 19.3% over five years.,88
BAJAJHLDNG,pro,EPS CAGR >= 10%,EPS CAGR of 19.0% over five years.,88
BAJAJHLDNG,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
BAJFINANCE,pro,NPM >= 15%,Healthy net profit margin of 26.3%.,85
BAJFINANCE,pro,ICR >= 5,Strong interest coverage of 2689.2x.,88
BAJFINANCE,pro,Revenue CAGR >= 10%,Revenue CAGR of 24.4% over five years.,85
BAJFINANCE,pro,PAT CAGR >= 10%,Profit CAGR of 29.3% over five years.,88
BAJFINANCE,pro,EPS CAGR >= 10%,EPS CAGR of 27.6% over five years.,88
BAJFINANCE,con,D/E > 1,Elevated debt-to-equity of 3.82.,90
BAJFINANCE,con,FCF < 0,Negative free cash flow is a potential financial risk.,90
BAJFINANCE,con,CFO < 0,Negative operating cash flow indicates weak cash generation.,95
BAJFINANCE,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
BAJFINANCE,con,FCF conversion < 50%,Weak free-cash-flow conversion of -496.5%.,82
BANKBARODA,pro,NPM >= 15%,Healthy net profit margin of 15.9%.,85
BANKBARODA,pro,CapEx intensity < 10%,Moderate CapEx intensity of 1.1%.,72
BANKBARODA,pro,Revenue CAGR >= 10%,Revenue CAGR of 17.5% over five years.,85
BANKBARODA,pro,PAT CAGR >= 10%,Profit CAGR of 74.5% over five years.,88
BANKBARODA,pro,EPS CAGR >= 10%,EPS CAGR of 55.2% over five years.,88
BANKBARODA,con,D/E > 1,Elevated debt-to-equity of 12.14.,90
BANKBARODA,con,ICR < 2,Low interest coverage of 1.9x.,92
BANKBARODA,con,FCF < 0,Negative free cash flow is a potential financial risk.,90
BANKBARODA,con,CFO < 0,Negative operating cash flow indicates weak cash generation.,95
BANKBARODA,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
BANKBARODA,con,FCF conversion < 50%,Weak free-cash-flow conversion of -17.0%.,82
BEL,pro,ROE >= 20%,Strong return on equity of 4744.0%.,90
BEL,pro,NPM >= 15%,Healthy net profit margin of 19.7%.,85
BEL,pro,ICR >= 5,Strong interest coverage of 476.8x.,88
BEL,pro,CFO > 0,Positive operating cash flow supports earnings quality.,80
BEL,pro,Revenue CAGR >= 10%,Revenue CAGR of 10.8% over five years.,85
BEL,pro,PAT CAGR >= 10%,Profit CAGR of 16.1% over five years.,88
BEL,pro,EPS CAGR >= 10%,EPS CAGR of 10.8% over five years.,88
BEL,con,FCF < 0,Negative free cash flow is a potential financial risk.,90
BEL,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
BEL,con,FCF conversion < 50%,Weak free-cash-flow conversion of -25.0%.,82
BHARTIARTL,pro,FCF > 0,Positive free cash flow of 27809.0 crore.,82
BHARTIARTL,pro,CFO > 0,Positive operating cash flow supports earnings quality.,80
BHARTIARTL,pro,Revenue CAGR >= 10%,Revenue CAGR of 13.2% over five years.,85
BHARTIARTL,pro,PAT CAGR >= 10%,Profit CAGR of 38.4% over five years.,88
BHARTIARTL,pro,EPS CAGR >= 10%,EPS CAGR of 67.0% over five years.,88
BHARTIARTL,con,D/E > 1,Elevated debt-to-equity of 2.61.,90
BHARTIARTL,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
BHARTIARTL,con,CapEx intensity > 30%,High CapEx intensity of 34.1% may pressure free cash flow.,80
BHARTIARTL,con,FCF conversion < 50%,Weak free-cash-flow conversion of 35.5%.,82
BHEL,pro,D/E <= 0.5,"Low debt-to-equity of 0.36, indicating conservative leverage.",90
BHEL,pro,CapEx intensity < 10%,Moderate CapEx intensity of 5.6%.,72
BHEL,con,ROE < 10%,Low return on equity of 1.2%.,85
BHEL,con,NPM < 5%,Thin net profit margin of 1.2%.,85
BHEL,con,ICR < 2,Low interest coverage of 1.6x.,92
BHEL,con,FCF < 0,Negative free cash flow is a potential financial risk.,90
BHEL,con,CFO < 0,Negative operating cash flow indicates weak cash generation.,95
BHEL,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
BHEL,con,FCF conversion < 50%,Weak free-cash-flow conversion of -335.0%.,82
BHEL,con,Revenue CAGR < 5%,Slow five-year revenue CAGR of -4.7%.,78
BHEL,con,PAT CAGR < 5%,Slow five-year profit CAGR of -22.4%.,80
BHEL,con,EPS CAGR < 5%,Slow five-year EPS CAGR of -19.7%.,80
BOSCHLTD,pro,ROE >= 20%,Strong return on equity of 20.6%.,90
BOSCHLTD,pro,D/E <= 0.5,"Low debt-to-equity of 0.00, indicating conservative leverage.",90
BOSCHLTD,pro,ICR >= 5,Strong interest coverage of 71.8x.,88
BOSCHLTD,pro,FCF > 0,Positive free cash flow of 1536.0 crore.,82
BOSCHLTD,pro,CFO > 0,Positive operating cash flow supports earnings quality.,80
BOSCHLTD,pro,CapEx intensity < 10%,Moderate CapEx intensity of 1.7%.,72
BOSCHLTD,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
BPCL,pro,ROE >= 20%,Strong return on equity of 35.5%.,90
BPCL,pro,ICR >= 5,Strong interest coverage of 11.4x.,88
BPCL,pro,FCF > 0,Positive free cash flow of 25415.0 crore.,82
BPCL,pro,CFO > 0,Positive operating cash flow supports earnings quality.,80
BPCL,pro,CapEx intensity < 10%,Moderate CapEx intensity of 2.3%.,72
BPCL,pro,PAT CAGR >= 10%,Profit CAGR of 25.8% over five years.,88
BPCL,pro,EPS CAGR >= 10%,EPS CAGR of 28.1% over five years.,88
BPCL,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
BRITANNIA,pro,ROE >= 20%,Strong return on equity of 54.1%.,90
BRITANNIA,pro,ICR >= 5,Strong interest coverage of 20.6x.,88
BRITANNIA,pro,FCF > 0,Positive free cash flow of 3050.0 crore.,82
BRITANNIA,pro,CFO > 0,Positive operating cash flow supports earnings quality.,80
BRITANNIA,pro,CapEx intensity < 10%,Moderate CapEx intensity of 2.8%.,72
BRITANNIA,pro,FCF conversion >= 80%,Strong free-cash-flow conversion of 96.3%.,88
BRITANNIA,pro,PAT CAGR >= 10%,Profit CAGR of 13.1% over five years.,88
BRITANNIA,pro,EPS CAGR >= 10%,EPS CAGR of 13.1% over five years.,88
BRITANNIA,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
CANBK,pro,FCF > 0,Positive free cash flow of 13296.0 crore.,82
CANBK,pro,CFO > 0,Positive operating cash flow supports earnings quality.,80
CANBK,pro,CapEx intensity < 10%,Moderate CapEx intensity of 1.6%.,72
CANBK,pro,Revenue CAGR >= 10%,Revenue CAGR of 18.2% over five years.,85
CANBK,pro,PAT CAGR >= 10%,Profit CAGR of 85.8% over five years.,88
CANBK,pro,EPS CAGR >= 10%,EPS CAGR of 53.4% over five years.,88
CANBK,con,D/E > 1,Elevated debt-to-equity of 14.87.,90
CANBK,con,ICR < 2,Low interest coverage of 1.6x.,92
CANBK,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
CANBK,con,FCF conversion < 50%,Weak free-cash-flow conversion of 28.8%.,82
CHOLAFIN,pro,NPM >= 15%,Healthy net profit margin of 17.8%.,85
CHOLAFIN,pro,ICR >= 5,Strong interest coverage of 21.2x.,88
CHOLAFIN,pro,Revenue CAGR >= 10%,Revenue CAGR of 21.9% over five years.,85
CHOLAFIN,pro,PAT CAGR >= 10%,Profit CAGR of 23.4% over five years.,88
CHOLAFIN,pro,EPS CAGR >= 10%,EPS CAGR of 22.3% over five years.,88
CHOLAFIN,con,D/E > 1,Elevated debt-to-equity of 6.86.,90
CHOLAFIN,con,FCF < 0,Negative free cash flow is a potential financial risk.,90
CHOLAFIN,con,CFO < 0,Negative operating cash flow indicates weak cash generation.,95
CHOLAFIN,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
CHOLAFIN,con,FCF conversion < 50%,Weak free-cash-flow conversion of -715.7%.,82
CIPLA,pro,NPM >= 15%,Healthy net profit margin of 16.1%.,85
CIPLA,pro,D/E <= 0.5,"Low debt-to-equity of 0.02, indicating conservative leverage.",90
CIPLA,pro,ICR >= 5,Strong interest coverage of 35.3x.,88
CIPLA,pro,FCF > 0,Positive free cash flow of 1152.0 crore.,82
CIPLA,pro,CFO > 0,Positive operating cash flow supports earnings quality.,80
CIPLA,pro,PAT CAGR >= 10%,Profit CAGR of 22.7% over five years.,88
CIPLA,pro,EPS CAGR >= 10%,EPS CAGR of 21.8% over five years.,88
CIPLA,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
CIPLA,con,FCF conversion < 50%,Weak free-cash-flow conversion of 5.9%.,82
COALINDIA,pro,ROE >= 20%,Strong return on equity of 45.2%.,90
COALINDIA,pro,NPM >= 15%,Healthy net profit margin of 26.3%.,85
COALINDIA,pro,D/E <= 0.5,"Low debt-to-equity of 0.08, indicating conservative leverage.",90
COALINDIA,pro,ICR >= 5,Strong interest coverage of 11.2x.,88
COALINDIA,pro,FCF > 0,Positive free cash flow of 13617.0 crore.,82
COALINDIA,pro,CFO > 0,Positive operating cash flow supports earnings quality.,80
COALINDIA,pro,CapEx intensity < 10%,Moderate CapEx intensity of 3.2%.,72
COALINDIA,pro,PAT CAGR >= 10%,Profit CAGR of 16.4% over five years.,88
COALINDIA,pro,EPS CAGR >= 10%,EPS CAGR of 16.9% over five years.,88
COALINDIA,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
COALINDIA,con,FCF conversion < 50%,Weak free-cash-flow conversion of 14.4%.,82
DABUR,pro,D/E <= 0.5,"Low debt-to-equity of 0.14, indicating conservative leverage.",90
DABUR,pro,ICR >= 5,Strong interest coverage of 23.2x.,88
DABUR,pro,FCF > 0,Positive free cash flow of 1042.0 crore.,82
DABUR,pro,CFO > 0,Positive operating cash flow supports earnings quality.,80
DABUR,pro,CapEx intensity < 10%,Moderate CapEx intensity of 7.8%.,72
DABUR,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
DABUR,con,FCF conversion < 50%,Weak free-cash-flow conversion of 43.4%.,82
DABUR,con,PAT CAGR < 5%,Slow five-year profit CAGR of 4.6%.,80
DABUR,con,EPS CAGR < 5%,Slow five-year EPS CAGR of 4.6%.,80
DIVISLAB,pro,NPM >= 15%,Healthy net profit margin of 20.4%.,85
DIVISLAB,pro,D/E <= 0.5,"Low debt-to-equity of 0.00, indicating conservative leverage.",90
DIVISLAB,pro,ICR >= 5,Strong interest coverage of 636.2x.,88
DIVISLAB,pro,FCF > 0,Positive free cash flow of 992.0 crore.,82
DIVISLAB,pro,CFO > 0,Positive operating cash flow supports earnings quality.,80
DIVISLAB,pro,CapEx intensity < 10%,Moderate CapEx intensity of 3.4%.,72
DIVISLAB,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
DIVISLAB,con,FCF conversion < 50%,Weak free-cash-flow conversion of 44.9%.,82
DIVISLAB,con,PAT CAGR < 5%,Slow five-year profit CAGR of 3.4%.,80
DIVISLAB,con,EPS CAGR < 5%,Slow five-year EPS CAGR of 3.3%.,80
DLF,pro,NPM >= 15%,Healthy net profit margin of 42.4%.,85
DLF,pro,D/E <= 0.5,"Low debt-to-equity of 0.12, indicating conservative leverage.",90
DLF,pro,ICR >= 5,Strong interest coverage of 7.5x.,88
DLF,pro,FCF > 0,Positive free cash flow of 1010.0 crore.,82
DLF,pro,CFO > 0,Positive operating cash flow supports earnings quality.,80
DLF,pro,PAT CAGR >= 10%,Profit CAGR of 15.7% over five years.,88
DLF,pro,EPS CAGR >= 10%,EPS CAGR of 12.9% over five years.,88
DLF,con,ROE < 10%,Low return on equity of 6.9%.,85
DLF,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
DLF,con,FCF conversion < 50%,Weak free-cash-flow conversion of 47.6%.,82
DLF,con,Revenue CAGR < 5%,Slow five-year revenue CAGR of -5.1%.,78
DMART,pro,D/E <= 0.5,"Low debt-to-equity of 0.03, indicating conservative leverage.",90
DMART,pro,ICR >= 5,Strong interest coverage of 73.3x.,88
DMART,pro,FCF > 0,Positive free cash flow of 278.0 crore.,82
DMART,pro,CFO > 0,Positive operating cash flow supports earnings quality.,80
DMART,pro,CapEx intensity < 10%,Moderate CapEx intensity of 4.9%.,72
DMART,pro,Revenue CAGR >= 10%,Revenue CAGR of 20.5% over five years.,85
DMART,pro,PAT CAGR >= 10%,Profit CAGR of 23.0% over five years.,88
DMART,pro,EPS CAGR >= 10%,EPS CAGR of 22.7% over five years.,88
DMART,con,NPM < 5%,Thin net profit margin of 5.0%.,85
DMART,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
DMART,con,FCF conversion < 50%,Weak free-cash-flow conversion of 6.8%.,82
DRREDDY,pro,NPM >= 15%,Healthy net profit margin of 19.9%.,85
DRREDDY,pro,D/E <= 0.5,"Low debt-to-equity of 0.07, indicating conservative leverage.",90
DRREDDY,pro,ICR >= 5,Strong interest coverage of 51.7x.,88
DRREDDY,pro,FCF > 0,Positive free cash flow of 509.0 crore.,82
DRREDDY,pro,CFO > 0,Positive operating cash flow supports earnings quality.,80
DRREDDY,pro,Revenue CAGR >= 10%,Revenue CAGR of 12.6% over five years.,85
DRREDDY,pro,PAT CAGR >= 10%,Profit CAGR of 23.4% over five years.,88
DRREDDY,pro,EPS CAGR >= 10%,EPS CAGR of 23.8% over five years.,88
DRREDDY,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
DRREDDY,con,FCF conversion < 50%,Weak free-cash-flow conversion of 6.4%.,82
EICHERMOT,pro,ROE >= 20%,Strong return on equity of 22.2%.,90
EICHERMOT,pro,NPM >= 15%,Healthy net profit margin of 24.2%.,85
EICHERMOT,pro,D/E <= 0.5,"Low debt-to-equity of 0.02, indicating conservative leverage.",90
EICHERMOT,pro,ICR >= 5,Strong interest coverage of 114.7x.,88
EICHERMOT,pro,FCF > 0,Positive free cash flow of 890.0 crore.,82
EICHERMOT,pro,CFO > 0,Positive operating cash flow supports earnings quality.,80
EICHERMOT,pro,Revenue CAGR >= 10%,Revenue CAGR of 11.0% over five years.,85
EICHERMOT,pro,PAT CAGR >= 10%,Profit CAGR of 12.7% over five years.,88
EICHERMOT,pro,EPS CAGR >= 10%,EPS CAGR of 12.5% over five years.,88
EICHERMOT,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
EICHERMOT,con,FCF conversion < 50%,Weak free-cash-flow conversion of 20.6%.,82
GAIL,pro,D/E <= 0.5,"Low debt-to-equity of 0.28, indicating conservative leverage.",90
GAIL,pro,ICR >= 5,Strong interest coverage of 23.6x.,88
GAIL,pro,FCF > 0,Positive free cash flow of 4360.0 crore.,82
GAIL,pro,CFO > 0,Positive operating cash flow supports earnings quality.,80
GAIL,pro,CapEx intensity < 10%,Moderate CapEx intensity of 6.2%.,72
GAIL,pro,Revenue CAGR >= 10%,Revenue CAGR of 11.8% over five years.,85
GAIL,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
GAIL,con,FCF conversion < 50%,Weak free-cash-flow conversion of 30.5%.,82
GODREJCP,pro,D/E <= 0.5,"Low debt-to-equity of 0.26, indicating conservative leverage.",90
GODREJCP,pro,CFO > 0,Positive operating cash flow supports earnings quality.,80
GODREJCP,con,ROE < 10%,Low return on equity of -4.5%.,85
GODREJCP,con,NPM < 5%,Thin net profit margin of -4.0%.,85
GODREJCP,con,FCF < 0,Negative free cash flow is a potential financial risk.,90
GODREJCP,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
GODREJCP,con,FCF conversion < 50%,Weak free-cash-flow conversion of -46.2%.,82
GRASIM,pro,Revenue CAGR >= 10%,Revenue CAGR of 11.2% over five years.,85
GRASIM,pro,PAT CAGR >= 10%,Profit CAGR of 29.3% over five years.,88
GRASIM,pro,EPS CAGR >= 10%,EPS CAGR of 27.7% over five years.,88
GRASIM,con,D/E > 1,Elevated debt-to-equity of 1.55.,90
GRASIM,con,FCF < 0,Negative free cash flow is a potential financial risk.,90
GRASIM,con,CFO < 0,Negative operating cash flow indicates weak cash generation.,95
GRASIM,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
GRASIM,con,FCF conversion < 50%,Weak free-cash-flow conversion of -124.4%.,82
HAL,pro,ROE >= 20%,Strong return on equity of 3816.6%.,90
HAL,pro,NPM >= 15%,Healthy net profit margin of 25.0%.,85
HAL,pro,ICR >= 5,Strong interest coverage of 270.9x.,88
HAL,pro,FCF > 0,Positive free cash flow of 1814.0 crore.,82
HAL,pro,CFO > 0,Positive operating cash flow supports earnings quality.,80
HAL,pro,PAT CAGR >= 10%,Profit CAGR of 26.5% over five years.,88
HAL,pro,EPS CAGR >= 10%,EPS CAGR of 26.6% over five years.,88
HAL,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
HAL,con,FCF conversion < 50%,Weak free-cash-flow conversion of 18.6%.,82
